brand,name,rating,votes,url,last_crawled
Anfas,El Zafran Anfas for women and men,2.33,3,https://www.fragrantica.com/perfume/Anfas/El-Zafran-25416.html,2025-11-14T08:40:17.119403
Anfas,Saher Anfas for women and men,3.0,4,https://www.fragrantica.com/perfume/Anfas/Saher-25418.html,2025-11-14T08:40:23.743128
Anfas,Gaya Anfas for women and men,3.87,133,https://www.fragrantica.com/perfume/Anfas/Gaya-54905.html,2025-11-14T08:40:29.201291
Anfas,Samaha Anfas for women and men,3.5,18,https://www.fragrantica.com/perfume/Anfas/Samaha-44443.html,2025-11-14T08:40:34.721510
Anfas,Ghala Anfas for women and men,3.82,11,https://www.fragrantica.com/perfume/Anfas/Ghala-77702.html,2025-11-14T08:40:40.724138
Anfas,Shaouq Anfas for women and men,3.94,18,https://www.fragrantica.com/perfume/Anfas/Shaouq-77703.html,2025-11-14T08:40:46.328920
Anfas,Sa'adah Anfas for women and men,3.78,32,https://www.fragrantica.com/perfume/Anfas/Sa-adah-44442.html,2025-11-14T08:40:52.808131
Anfas,Sarab Anfas for women and men,2.67,3,https://www.fragrantica.com/perfume/Anfas/Sarab-25417.html,2025-11-14T08:40:58.610764
Anfas,Jannah Anfas for women and men,4.17,18,https://www.fragrantica.com/perfume/Anfas/Jannah-77704.html,2025-11-14T08:41:04.035157
Anfas,Dhai Anfas for women and men,4.31,49,https://www.fragrantica.com/perfume/Anfas/Dhai-77706.html,2025-11-14T08:41:10.523981
Anfas,Salam Anfas for women and men,4.05,93,https://www.fragrantica.com/perfume/Anfas/Salam-44440.html,2025-11-14T08:41:17.395089
Anfas,Shaghaf Anfas for women and men,3.97,74,https://www.fragrantica.com/perfume/Anfas/Shaghaf-44445.html,2025-11-14T08:41:23.001844
Anfas,Sakan Anfas for women and men,4.19,21,https://www.fragrantica.com/perfume/Anfas/Sakan-54906.html,2025-11-14T08:41:28.941749
Anfas,Rahaba Anfas for women and men,3.82,71,https://www.fragrantica.com/perfume/Anfas/Rahaba-44441.html,2025-11-14T08:41:35.099507
Anfas,El Oud Anfas for women and men,5.0,1,https://www.fragrantica.com/perfume/Anfas/El-Oud-25415.html,2025-11-14T08:41:41.833933
Anfas,Ishq Anfas for women and men,4.15,210,https://www.fragrantica.com/perfume/Anfas/Ishq-54903.html,2025-11-14T08:41:47.608550
Anfas,Salam 2014 Anfas for women and men,2.5,2,https://www.fragrantica.com/perfume/Anfas/Salam-2014-25419.html,2025-11-14T08:41:54.081939
Anfas,Mahaba Anfas for women and men,4.02,51,https://www.fragrantica.com/perfume/Anfas/Mahaba-44444.html,2025-11-14T08:42:00.876738
Anfas,Haneen Anfas for women and men,4.3,10,https://www.fragrantica.com/perfume/Anfas/Haneen-77705.html,2025-11-14T08:42:07.278141
Anfas,Dari Exclusively For Zhor Anfas for women and men,4.5,4,https://www.fragrantica.com/perfume/Anfas/Dari-Exclusively-For-Zhor-100588.html,2025-11-14T08:42:13.124536
Anfas,Melaad Anfas for women and men,2.0,2,https://www.fragrantica.com/perfume/Anfas/Melaad-25420.html,2025-11-14T08:42:19.494780
Anfas,Watan Anfas for women and men,4.2,74,https://www.fragrantica.com/perfume/Anfas/Watan-54904.html,2025-11-14T08:42:24.841183
