brand,name,rating,votes,url,last_crawled
Atelier des Ors,Novae Vanilla Atelier des Ors for women and men,3.59,128,https://www.fragrantica.com/perfume/Atelier-des-Ors/Novae-Vanilla-115153.html,2025-11-17T15:50:21.463382
Atelier des Ors,Iris Fauve Atelier des Ors for women and men,3.94,678,https://www.fragrantica.com/perfume/Atelier-des-Ors/Iris-Fauve-41089.html,2025-11-17T15:50:27.789884
Atelier des Ors,Aube Rubis Atelier des Ors for women and men,3.81,400,https://www.fragrantica.com/perfume/Atelier-des-Ors/Aube-Rubis-29713.html,2025-11-17T15:50:33.709984
Atelier des Ors,Larmes du Désert Atelier des Ors for women and men,4.09,621,https://www.fragrantica.com/perfume/Atelier-des-Ors/Larmes-du-Desert-29715.html,2025-11-17T15:50:40.135581
Atelier des Ors,Cuir Sacré Atelier des Ors for women and men,3.87,494,https://www.fragrantica.com/perfume/Atelier-des-Ors/Cuir-Sacre-29714.html,2025-11-17T15:50:46.756696
Atelier des Ors,Crépuscule Des Âmes Atelier des Ors for women and men,3.57,275,https://www.fragrantica.com/perfume/Atelier-des-Ors/Crepuscule-Des-Ames-49595.html,2025-11-17T15:50:52.781187
Atelier des Ors,Rouge Sarây Vintage Atelier des Ors for women and men,3.27,11,https://www.fragrantica.com/perfume/Atelier-des-Ors/Rouge-Saray-Vintage-99575.html,2025-11-17T15:50:58.258601
Atelier des Ors,Lune Féline Extrait Gold Craftsmanship Limited Edition Atelier des Ors for women and men,5.0,1,https://www.fragrantica.com/perfume/Atelier-des-Ors/Lune-Feline-Extrait-Gold-Craftsmanship-Limited-Edition-118319.html,2025-11-17T15:51:04.447440
Atelier des Ors,Nuda Veritas Atelier des Ors for women and men,3.91,600,https://www.fragrantica.com/perfume/Atelier-des-Ors/Nuda-Veritas-49594.html,2025-11-17T15:51:11.699002
Atelier des Ors,Pomelo Riviera Atelier des Ors for women and men,3.91,434,https://www.fragrantica.com/perfume/Atelier-des-Ors/Pomelo-Riviera-54950.html,2025-11-17T15:51:18.636910
Atelier des Ors,Lune Feline Atelier des Ors for women and men,4.08,3320,https://www.fragrantica.com/perfume/Atelier-des-Ors/Lune-Feline-29716.html,2025-11-17T15:51:24.503897
Atelier des Ors,Musc Immortel Atelier des Ors for women and men,4.01,322,https://www.fragrantica.com/perfume/Atelier-des-Ors/Musc-Immortel-41971.html,2025-11-17T15:51:30.251463
Atelier des Ors,Cocoa Kimiya Atelier des Ors for women and men,3.76,153,https://www.fragrantica.com/perfume/Atelier-des-Ors/Cocoa-Kimiya-98012.html,2025-11-17T15:51:35.968975
Atelier des Ors,Noir by Night Atelier des Ors for women and men,3.63,424,https://www.fragrantica.com/perfume/Atelier-des-Ors/Noir-by-Night-76836.html,2025-11-17T15:51:42.733977
Atelier des Ors,Rose Omeyyade Vintage Atelier des Ors for women and men,4.09,11,https://www.fragrantica.com/perfume/Atelier-des-Ors/Rose-Omeyyade-Vintage-99573.html,2025-11-17T15:51:49.381011
