brand,name,rating,votes,url,last_crawled
Clive Christian,20 Iconic Feminine Clive Christian,3.72,125,https://www.fragrantica.com/perfume/Clive-Christian/20-Iconic-Feminine-57888.html,2025-11-14T20:21:42.180318
Clive Christian,E for Men Gourmand Oriental With Sweet Clove Clive Christian,4.04,323,https://www.fragrantica.com/perfume/Clive-Christian/E-for-Men-Gourmand-Oriental-With-Sweet-Clove-47346.html,2025-11-14T20:21:48.114345
Clive Christian,Sandalwood Absolute Oil Clive Christian for women and men,4.0,7,https://www.fragrantica.com/perfume/Clive-Christian/Sandalwood-Absolute-Oil-42475.html,2025-11-14T20:21:54.237499
Clive Christian,No. 1 Imperial For Men Clive Christian,3.68,22,https://www.fragrantica.com/perfume/Clive-Christian/No-1-Imperial-For-Men-29024.html,2025-11-14T20:22:00.267006
Clive Christian,A Separate Reality Manic Clive Christian,4.25,20,https://www.fragrantica.com/perfume/Clive-Christian/A-Separate-Reality-Manic-63055.html,2025-11-14T20:22:06.621096
Clive Christian,Jasmin Absolute Oil Clive Christian for women and men,3.83,6,https://www.fragrantica.com/perfume/Clive-Christian/Jasmin-Absolute-Oil-42477.html,2025-11-14T20:22:12.871476
Clive Christian,1872 For Men Clive Christian,4.33,1450,https://www.fragrantica.com/perfume/Clive-Christian/1872-For-Men-4646.html,2025-11-14T20:22:19.845287
Clive Christian,Vision in a Dream Mesmeric Clive Christian,3.97,105,https://www.fragrantica.com/perfume/Clive-Christian/Vision-in-a-Dream-Mesmeric-47117.html,2025-11-14T20:22:26.492758
Clive Christian,Osmanthus Absolut Oil Clive Christian for women and men,3.33,3,https://www.fragrantica.com/perfume/Clive-Christian/Osmanthus-Absolut-Oil-52415.html,2025-11-14T20:22:33.039686
Clive Christian,L for Men Woody Oriental With Deep Amber Clive Christian,3.87,89,https://www.fragrantica.com/perfume/Clive-Christian/L-for-Men-Woody-Oriental-With-Deep-Amber-47353.html,2025-11-14T20:22:39.477988
Clive Christian,Chasing the Dragon Hypnotic Clive Christian,4.09,131,https://www.fragrantica.com/perfume/Clive-Christian/Chasing-the-Dragon-Hypnotic-47120.html,2025-11-14T20:22:45.535218
Clive Christian,A Separate Reality Soporific Clive Christian,4.12,24,https://www.fragrantica.com/perfume/Clive-Christian/A-Separate-Reality-Soporific-63056.html,2025-11-14T20:22:51.518884
Clive Christian,X Twist Myrrh Clive Christian for women and men,4.56,25,https://www.fragrantica.com/perfume/Clive-Christian/X-Twist-Myrrh-45298.html,2025-11-14T20:22:58.087841
Clive Christian,Jump Up And Kiss Me Ecstatic (2021) Clive Christian for women and men,3.94,449,https://www.fragrantica.com/perfume/Clive-Christian/Jump-Up-And-Kiss-Me-Ecstatic-2021-70766.html,2025-11-14T20:23:04.594143
Clive Christian,No. 1 Twist Water Mint Clive Christian for women and men,4.14,7,https://www.fragrantica.com/perfume/Clive-Christian/No-1-Twist-Water-Mint-59179.html,2025-11-14T20:23:10.203882
Clive Christian,V for Women Fruity Floral With Dark Plum Clive Christian,3.76,96,https://www.fragrantica.com/perfume/Clive-Christian/V-for-Women-Fruity-Floral-With-Dark-Plum-47351.html,2025-11-14T20:23:17.158905
Clive Christian,X For Men Clive Christian,4.36,1610,https://www.fragrantica.com/perfume/Clive-Christian/X-For-Men-4650.html,2025-11-14T20:23:23.885485
Clive Christian,Vision in a Dream Psychedelic Clive Christian,4.2,111,https://www.fragrantica.com/perfume/Clive-Christian/Vision-in-a-Dream-Psychedelic-47118.html,2025-11-14T20:23:30.012848
Clive Christian,20 Iconic Masculine Clive Christian,4.41,227,https://www.fragrantica.com/perfume/Clive-Christian/20-Iconic-Masculine-57887.html,2025-11-14T20:23:36.049176
Clive Christian,V for Men Clive Christian,4.16,281,https://www.fragrantica.com/perfume/Clive-Christian/V-for-Men-14638.html,2025-11-14T20:23:41.953618
Clive Christian,Town & Country Clive Christian for women and men,4.2,595,https://www.fragrantica.com/perfume/Clive-Christian/Town-Country-83240.html,2025-11-14T20:23:47.657036
Clive Christian,Amberwood Clive Christian for women and men,4.25,294,https://www.fragrantica.com/perfume/Clive-Christian/Amberwood-73599.html,2025-11-14T20:23:54.465800
