brand,name,rating,votes,url,last_crawled
Giorgio Armani,Ikat Bleu Giorgio Armani for women and men,4.31,64,https://www.fragrantica.com/perfume/Giorgio-Armani/Ikat-Bleu-63629.html,2025-11-14T16:27:45.586221
Giorgio Armani,Emporio Armani Diamonds for Women Summer Edition Giorgio Armani,3.81,90,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Diamonds-for-Women-Summer-Edition-8439.html,2025-11-14T16:27:51.971170
Giorgio Armani,Si Rose Signature Giorgio Armani,4.03,489,https://www.fragrantica.com/perfume/Giorgio-Armani/Si-Rose-Signature-35248.html,2025-11-14T16:27:58.436232
Giorgio Armani,Armani Code Summer Pour Homme 2011 Giorgio Armani,4.15,48,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Summer-Pour-Homme-2011-12357.html,2025-11-14T16:28:05.185877
Giorgio Armani,Si Rose Signature II Eau de Parfum Giorgio Armani,4.05,291,https://www.fragrantica.com/perfume/Giorgio-Armani/Si-Rose-Signature-II-Eau-de-Parfum-43453.html,2025-11-14T16:28:11.028296
Giorgio Armani,Emporio Armani For Her 2008 Giorgio Armani,4.12,266,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-For-Her-2008-2694.html,2025-11-14T16:28:17.687047
Giorgio Armani,Emporio Armani Diamonds for Men Giorgio Armani,4.07,1960,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Diamonds-for-Men-3793.html,2025-11-14T16:28:23.167702
Giorgio Armani,Thé Yulong Eau de Toilette Edition Limitée Giorgio Armani for women and men,3.77,26,https://www.fragrantica.com/perfume/Giorgio-Armani/The-Yulong-Eau-de-Toilette-Edition-Limitee-96936.html,2025-11-14T16:28:28.733331
Giorgio Armani,My Way Nectar Giorgio Armani,4.03,1255,https://www.fragrantica.com/perfume/Giorgio-Armani/My-Way-Nectar-88938.html,2025-11-14T16:28:34.911317
Giorgio Armani,Air di Gioia Giorgio Armani,3.72,1096,https://www.fragrantica.com/perfume/Giorgio-Armani/Air-di-Gioia-36599.html,2025-11-14T16:28:40.350075
Giorgio Armani,Armani Code Golden Edition Giorgio Armani,3.93,42,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Golden-Edition-21934.html,2025-11-14T16:28:46.519496
Giorgio Armani,Cuir Majeste Giorgio Armani for women and men,4.43,208,https://www.fragrantica.com/perfume/Giorgio-Armani/Cuir-Majeste-40057.html,2025-11-14T16:28:53.002893
Giorgio Armani,Armani Mania Giorgio Armani,4.11,3859,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Mania-415.html,2025-11-14T16:29:15.242214
Giorgio Armani,Armani Code Cashmere Giorgio Armani,4.17,1645,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Cashmere-42278.html,2025-11-14T16:29:21.416207
Giorgio Armani,Armani Code Absolu Gold Giorgio Armani,4.44,527,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Absolu-Gold-59334.html,2025-11-14T16:29:27.531542
Giorgio Armani,Armani Prive Rouge Malachite Giorgio Armani for women and men,4.21,2732,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Rouge-Malachite-34589.html,2025-11-14T16:29:33.803786
Giorgio Armani,Armani Code Ice Giorgio Armani,3.77,528,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Ice-24601.html,2025-11-14T16:29:39.808800
Giorgio Armani,Armani Code Sport Edition 2016 Giorgio Armani,4.27,106,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Sport-Edition-2016-39648.html,2025-11-14T16:29:47.267897
Giorgio Armani,Emporio Armani She Giorgio Armani,4.19,846,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-She-64482.html,2025-11-14T16:29:53.438574
Giorgio Armani,Emporio Armani Stronger With You Amber Giorgio Armani for women and men,4.27,783,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Amber-79699.html,2025-11-14T16:29:59.415843
Giorgio Armani,My Way Floral Giorgio Armani,4.02,1103,https://www.fragrantica.com/perfume/Giorgio-Armani/My-Way-Floral-73284.html,2025-11-14T16:30:05.534713
Giorgio Armani,Emporio Armani White For Him Giorgio Armani,4.48,403,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-White-For-Him-419.html,2025-11-14T16:30:11.968136
Giorgio Armani,Emporio Armani Stronger With You Absolutely Giorgio Armani,4.53,7804,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Absolutely-64501.html,2025-11-14T16:30:18.677939
Giorgio Armani,Emporio Armani Diamonds Violet Giorgio Armani,3.88,303,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Diamonds-Violet-31240.html,2025-11-14T16:30:24.108897
Giorgio Armani,Sì Passione Intense (2024) Giorgio Armani,3.8,408,https://www.fragrantica.com/perfume/Giorgio-Armani/Si-Passione-Intense-2024-96186.html,2025-11-14T16:30:30.131082
Giorgio Armani,My Way Hair & Body Mist Giorgio Armani,3.78,9,https://www.fragrantica.com/perfume/Giorgio-Armani/My-Way-Hair-Body-Mist-94401.html,2025-11-14T16:30:38.672254
Giorgio Armani,Armani Code Couture Edition Giorgio Armani,4.29,63,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Couture-Edition-17126.html,2025-11-14T16:30:44.112235
Giorgio Armani,Acqua di Gio Essenza Giorgio Armani,4.32,2820,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Essenza-14825.html,2025-11-14T16:30:49.868015
Giorgio Armani,Emporio Armani Red Pour Elle (White) Giorgio Armani,4.25,248,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Red-Pour-Elle-White-2190.html,2025-11-14T16:30:56.153399
Giorgio Armani,Armani Code Elixir Giorgio Armani,4.37,318,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Elixir-1738.html,2025-11-14T16:31:01.555967
Giorgio Armani,Idole d'Armani Giorgio Armani,3.8,2392,https://www.fragrantica.com/perfume/Giorgio-Armani/Idole-d-Armani-6270.html,2025-11-14T16:31:08.139453
Giorgio Armani,Armani Privé Rose d'Arabie Giorgio Armani for women and men,4.36,2386,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Rose-d-Arabie-10886.html,2025-11-14T16:31:13.978420
Giorgio Armani,Si Huile de Parfum Giorgio Armani,4.27,78,https://www.fragrantica.com/perfume/Giorgio-Armani/Si-Huile-de-Parfum-32475.html,2025-11-14T16:31:19.769320
Giorgio Armani,Sì Parfum Giorgio Armani,4.08,159,https://www.fragrantica.com/perfume/Giorgio-Armani/Si-Parfum-112375.html,2025-11-14T16:31:30.602770
Giorgio Armani,Armani Code Absolu Giorgio Armani,4.4,4296,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Absolu-53106.html,2025-11-14T16:31:36.791285
Giorgio Armani,A Milano Giorgio Armani for women and men,4.28,54,https://www.fragrantica.com/perfume/Giorgio-Armani/A-Milano-69489.html,2025-11-14T16:47:50.133476
Giorgio Armani,Sì Passione Limited Edition Giorgio Armani,3.89,27,https://www.fragrantica.com/perfume/Giorgio-Armani/Si-Passione-Limited-Edition-51615.html,2025-11-14T16:47:55.496264
Giorgio Armani,Acqua di Gioia Hair & Body Mist Giorgio Armani,3.94,16,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gioia-Hair-Body-Mist-50128.html,2025-11-14T16:48:02.212823
