brand,name,rating,votes,url,last_crawled
Goldfield & Banks Australia,Ingenious Ginger Goldfield & Banks Australia for women and men,4.35,2707,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Ingenious-Ginger-81895.html,2025-11-14T11:49:07.989697
Goldfield & Banks Australia,Island Lush Goldfield & Banks Australia for women and men,3.58,388,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Island-Lush-77139.html,2025-11-14T11:49:14.212171
Goldfield & Banks Australia,Pacific Rock Flower Goldfield & Banks Australia for women and men,3.98,388,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Pacific-Rock-Flower-105847.html,2025-11-14T11:49:20.909637
Goldfield & Banks Australia,Silky Woods Goldfield & Banks Australia for women and men,4.02,2125,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Silky-Woods-66766.html,2025-11-14T11:49:27.395919
Goldfield & Banks Australia,Tales of Amber Goldfield & Banks Australia for women and men,4.17,168,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Tales-of-Amber-111767.html,2025-11-14T11:49:33.970065
Goldfield & Banks Australia,Southern Bloom Goldfield & Banks Australia for women and men,3.57,695,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Southern-Bloom-51791.html,2025-11-14T11:49:40.950988
Goldfield & Banks Australia,Mystic Bliss Goldfield & Banks Australia for women and men,3.79,360,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Mystic-Bliss-96106.html,2025-11-14T11:49:46.393691
Goldfield & Banks Australia,Desert Rosewood Goldfield & Banks Australia for women and men,3.91,817,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Desert-Rosewood-44119.html,2025-11-14T11:49:53.166062
Goldfield & Banks Australia,White Sandalwood Goldfield & Banks Australia for women and men,2.93,516,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/White-Sandalwood-44121.html,2025-11-14T11:49:59.795079
Goldfield & Banks Australia,Purple Suede Goldfield & Banks Australia for women and men,3.99,583,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Purple-Suede-74482.html,2025-11-14T11:50:06.761596
Goldfield & Banks Australia,Silky Woods Elixir Goldfield & Banks Australia for women and men,3.92,509,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Silky-Woods-Elixir-87428.html,2025-11-14T11:50:12.123863
Goldfield & Banks Australia,Sunset Hour Goldfield & Banks Australia for women and men,4.07,2302,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Sunset-Hour-70950.html,2025-11-14T11:50:18.558432
Goldfield & Banks Australia,Pacific Rock Moss Goldfield & Banks Australia for women and men,4.1,2991,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Pacific-Rock-Moss-44120.html,2025-11-14T11:50:25.106731
Goldfield & Banks Australia,Silky Woods Harrods Exclusive Goldfield & Banks Australia for women and men,4.62,26,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Silky-Woods-Harrods-Exclusive-97548.html,2025-11-14T11:50:31.417888
Goldfield & Banks Australia,Bohemian Lime Goldfield & Banks Australia for women and men,4.11,2154,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Bohemian-Lime-60923.html,2025-11-14T11:50:37.675799
Goldfield & Banks Australia,Wood Infusion Goldfield & Banks Australia for women and men,3.58,617,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Wood-Infusion-47953.html,2025-11-14T11:50:43.964705
Goldfield & Banks Australia,Velvet Splendour Goldfield & Banks Australia for women and men,3.53,439,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Velvet-Splendour-54940.html,2025-11-14T11:50:50.237751
Goldfield & Banks Australia,Blue Cypress Goldfield & Banks Australia for women and men,3.46,541,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Blue-Cypress-44122.html,2025-11-14T11:50:56.325249
