brand,name,rating,votes,url,last_crawled
Initio Parfums Prives,Narcotic Delight Initio Parfums Prives for women and men,4.2,2434,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Narcotic-Delight-89368.html,2025-11-17T14:51:59.571789
Initio Parfums Prives,Oud for Greatness Hair Perfume Initio Parfums Prives for women and men,3.57,30,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Oud-for-Greatness-Hair-Perfume-96605.html,2025-11-17T14:52:06.390837
Initio Parfums Prives,Divine Attraction Initio Parfums Prives for women and men,3.69,274,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Divine-Attraction-30993.html,2025-11-17T14:52:11.929999
Initio Parfums Prives,Magnetic Blend 8 Initio Parfums Prives for women and men,3.84,257,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Magnetic-Blend-8-30996.html,2025-11-17T14:52:17.566489
Initio Parfums Prives,Addictive Vibration Initio Parfums Prives for women and men,4.0,1540,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Addictive-Vibration-38666.html,2025-11-17T14:52:23.894335
Initio Parfums Prives,Rehab Initio Parfums Prives for women and men,4.26,4276,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Rehab-50351.html,2025-11-17T14:52:29.590305
Initio Parfums Prives,Oud for Greatness Initio Parfums Prives for women and men,4.26,7102,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Oud-for-Greatness-53641.html,2025-11-17T14:52:36.041464
Initio Parfums Prives,Side Effect Initio Parfums Prives for women and men,4.35,8134,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Side-Effect-42260.html,2025-11-17T14:52:41.898035
Initio Parfums Prives,Absolute Aphrodisiac Initio Parfums Prives for women and men,4.27,3973,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Absolute-Aphrodisiac-30989.html,2025-11-17T14:52:48.159922
Initio Parfums Prives,High Frequency Initio Parfums Prives for women and men,3.9,1208,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/High-Frequency-42259.html,2025-11-17T14:52:55.284598
Initio Parfums Prives,Oud for Happiness Initio Parfums Prives for women and men,3.9,1665,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Oud-for-Happiness-69224.html,2025-11-17T14:53:01.227645
Initio Parfums Prives,Lift Me Up Initio Parfums Prives for women and men,4.27,60,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Lift-Me-Up-115367.html,2025-11-17T14:53:07.442734
Initio Parfums Prives,Magnetic Blend 1 Initio Parfums Prives for women and men,2.99,291,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Magnetic-Blend-1-30994.html,2025-11-17T14:53:12.922153
Initio Parfums Prives,Paragon Initio Parfums Prives for women and men,4.27,3259,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Paragon-76580.html,2025-11-17T14:53:19.047909
Initio Parfums Prives,Musk Therapy Initio Parfums Prives for women and men,4.18,5255,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Musk-Therapy-66097.html,2025-11-17T14:53:25.891749
Initio Parfums Prives,Psychedelic Love Initio Parfums Prives for women and men,4.23,3579,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Psychedelic-Love-45977.html,2025-11-17T14:53:31.753298
Initio Parfums Prives,Blessed Baraka Initio Parfums Prives for women and men,4.2,2310,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Blessed-Baraka-30991.html,2025-11-17T14:53:37.996995
Initio Parfums Prives,Musk Therapy Hair Perfume Initio Parfums Prives for women and men,3.88,43,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Musk-Therapy-Hair-Perfume-96606.html,2025-11-17T14:53:44.152450
Initio Parfums Prives,Can't Get Enough Initio Parfums Prives for women and men,4.23,189,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Can-t-Get-Enough-114319.html,2025-11-17T14:53:50.415555
Initio Parfums Prives,Mystic Experience Initio Parfums Prives for women and men,3.96,647,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Mystic-Experience-30992.html,2025-11-17T14:53:56.256184
Initio Parfums Prives,Atomic Rose Initio Parfums Prives for women and men,4.26,3555,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Atomic-Rose-57587.html,2025-11-17T14:54:03.222921
Initio Parfums Prives,Magnetic Blend 7 Initio Parfums Prives for women and men,3.71,379,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Magnetic-Blend-7-30995.html,2025-11-17T14:54:08.912589
Initio Parfums Prives,Power Self Initio Parfums Prives for women and men,3.67,548,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Power-Self-103778.html,2025-11-17T14:54:15.357082
Initio Parfums Prives,Oud for Greatness Neo Initio Parfums Prives for women and men,4.22,560,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Oud-for-Greatness-Neo-93090.html,2025-11-17T14:54:21.802468
Initio Parfums Prives,Atomic Rose Hair Perfume Initio Parfums Prives for women and men,3.9,29,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Atomic-Rose-Hair-Perfume-96604.html,2025-11-17T14:54:27.308924
