brand,name,rating,votes,url,last_crawled
Jean Paul Gaultier,Le Male Kilt Jean Paul Gaultier,4.04,25,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Kilt-6021.html,2025-11-15T15:40:27.754855
Jean Paul Gaultier,Classique Prestige Jean Paul Gaultier,4.48,31,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Prestige-2847.html,2025-11-15T15:40:33.410480
Jean Paul Gaultier,Jean Paul Gaultier Summer Jean Paul Gaultier,4.19,67,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Jean-Paul-Gaultier-Summer-2848.html,2025-11-15T15:40:39.596426
Jean Paul Gaultier,Kokorico Jean Paul Gaultier,3.84,2360,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Kokorico-12711.html,2025-11-15T15:40:46.050048
Jean Paul Gaultier,Le Male Limited Edition 2009 Jean Paul Gaultier,3.79,14,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Limited-Edition-2009-7186.html,2025-11-15T15:40:52.369999
Jean Paul Gaultier,Gaultier 2 Jean Paul Gaultier for women and men,4.15,3084,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Gaultier-2-433.html,2025-11-15T15:40:58.293119
Jean Paul Gaultier,La Belle Fleur Terrible Jean Paul Gaultier,4.07,870,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/La-Belle-Fleur-Terrible-71822.html,2025-11-15T15:41:03.809668
Jean Paul Gaultier,Classique Summer Fragrance 2009 Jean Paul Gaultier,3.79,98,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Summer-Fragrance-2009-5788.html,2025-11-15T15:41:10.601213
Jean Paul Gaultier,Le Male Summer Fragrance 2009 Jean Paul Gaultier,3.94,69,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Summer-Fragrance-2009-5789.html,2025-11-15T15:41:16.439414
Jean Paul Gaultier,Le Male Les d'Ete 2005 Jean Paul Gaultier,4.26,46,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Les-d-Ete-2005-431.html,2025-11-15T15:41:22.764888
Jean Paul Gaultier,Le Male Collector Edition 2024 Jean Paul Gaultier,3.51,61,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Collector-Edition-2024-97489.html,2025-11-15T15:41:28.340448
Jean Paul Gaultier,Le Male Terrible Shaker Jean Paul Gaultier,3.96,26,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Terrible-Shaker-11349.html,2025-11-15T15:41:33.839664
Jean Paul Gaultier,Classique Wonder Woman Eau Fraiche Jean Paul Gaultier,4.12,389,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-Wonder-Woman-Eau-Fraiche-43711.html,2025-11-15T15:41:40.243571
Jean Paul Gaultier,Fragile Eau de Toilette Jean Paul Gaultier,4.16,632,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Fragile-Eau-de-Toilette-436.html,2025-11-15T15:41:47.586175
Jean Paul Gaultier,Ma Dame Kiss Me Love Me Jean Paul Gaultier,3.83,6,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Ma-Dame-Kiss-Me-Love-Me-65946.html,2025-11-15T15:41:54.095570
Jean Paul Gaultier,Classique X L'Eau Jean Paul Gaultier,3.89,81,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-X-L-Eau-14568.html,2025-11-15T15:42:00.701164
