brand,name,rating,votes,url,last_crawled
Jo Malone London,Saffron Jo Malone London for women and men,4.19,242,https://www.fragrantica.com/perfume/Jo-Malone-London/Saffron-18546.html,2025-11-17T16:00:51.748066
Jo Malone London,Basil & Neroli Jo Malone London for women and men,3.92,1134,https://www.fragrantica.com/perfume/Jo-Malone-London/Basil-Neroli-40419.html,2025-11-17T16:00:57.884576
Jo Malone London,Orange Bitters Cologne 2025 Jo Malone London for women and men,4.14,14,https://www.fragrantica.com/perfume/Jo-Malone-London/Orange-Bitters-Cologne-2025-115320.html,2025-11-17T16:01:04.497369
Jo Malone London,Mimosa & Cardamom Jo Malone London for women and men,4.1,3349,https://www.fragrantica.com/perfume/Jo-Malone-London/Mimosa-Cardamom-31825.html,2025-11-17T16:01:10.933092
Jo Malone London,154 Cologne Jo Malone London for women and men,3.8,508,https://www.fragrantica.com/perfume/Jo-Malone-London/154-Cologne-17819.html,2025-11-17T16:01:17.146802
Jo Malone London,Amber & Lavender Jo Malone London,3.63,707,https://www.fragrantica.com/perfume/Jo-Malone-London/Amber-Lavender-5582.html,2025-11-17T16:01:23.832695
Jo Malone London,Aqua Lemon Cologne Jo Malone London for women and men,3.71,69,https://www.fragrantica.com/perfume/Jo-Malone-London/Aqua-Lemon-Cologne-74045.html,2025-11-17T16:01:30.412553
Jo Malone London,Ginger Biscuit Jo Malone London,4.33,510,https://www.fragrantica.com/perfume/Jo-Malone-London/Ginger-Biscuit-17685.html,2025-11-17T16:01:37.121254
Jo Malone London,Pomegranate Noir Jo Malone London for women and men,3.79,3444,https://www.fragrantica.com/perfume/Jo-Malone-London/Pomegranate-Noir-5581.html,2025-11-17T16:01:43.084129
Jo Malone London,Rose & Magnolia Jo Malone London,3.86,176,https://www.fragrantica.com/perfume/Jo-Malone-London/Rose-Magnolia-57381.html,2025-11-17T16:01:48.958952
Jo Malone London,Ginger Biscuit Limited Edition Jo Malone London,4.47,91,https://www.fragrantica.com/perfume/Jo-Malone-London/Ginger-Biscuit-Limited-Edition-58752.html,2025-11-17T16:01:54.710654
Jo Malone London,Melancholy Thistle Jo Malone London for women and men,3.99,150,https://www.fragrantica.com/perfume/Jo-Malone-London/Melancholy-Thistle-82494.html,2025-11-17T16:02:01.153985
Jo Malone London,Poppy & Barley Jo Malone London for women and men,3.97,1785,https://www.fragrantica.com/perfume/Jo-Malone-London/Poppy-Barley-56152.html,2025-11-17T16:02:07.288454
Jo Malone London,Vintage Gardenia Jo Malone London,3.98,320,https://www.fragrantica.com/perfume/Jo-Malone-London/Vintage-Gardenia-2289.html,2025-11-17T16:02:13.140683
Jo Malone London,Sea Daffodil Jo Malone London for women and men,3.89,195,https://www.fragrantica.com/perfume/Jo-Malone-London/Sea-Daffodil-72615.html,2025-11-17T16:02:19.102576
Jo Malone London,Oud & Bergamot Rich Extrait Jo Malone London for women and men,4.4,60,https://www.fragrantica.com/perfume/Jo-Malone-London/Oud-Bergamot-Rich-Extrait-48016.html,2025-11-17T16:02:25.630545
