brand,name,rating,votes,url,last_crawled
M. Micallef,Bellini M. Micallef,3.55,47,https://www.fragrantica.com/perfume/M-Micallef/Bellini-89518.html,2025-11-14T22:23:47.499086
M. Micallef,Emir M. Micallef,4.08,391,https://www.fragrantica.com/perfume/M-Micallef/Emir-17553.html,2025-11-14T22:23:53.716990
M. Micallef,Ma Nature M. Micallef for women and men,3.33,64,https://www.fragrantica.com/perfume/M-Micallef/Ma-Nature-97154.html,2025-11-14T22:23:59.974265
M. Micallef,Fleur Poème M. Micallef,4.28,18,https://www.fragrantica.com/perfume/M-Micallef/Fleur-Poeme-54809.html,2025-11-14T22:24:05.798385
M. Micallef,Note Poudree M. Micallef,3.96,72,https://www.fragrantica.com/perfume/M-Micallef/Note-Poudree-4333.html,2025-11-14T22:24:12.260909
M. Micallef,Chocolate Fondant M. Micallef for women and men,3.41,58,https://www.fragrantica.com/perfume/M-Micallef/Chocolate-Fondant-76766.html,2025-11-14T22:24:18.077904
M. Micallef,Style M. Micallef,3.91,124,https://www.fragrantica.com/perfume/M-Micallef/Style-16257.html,2025-11-14T22:24:24.345386
M. Micallef,Vanille Vanille M. Micallef for women and men,4.24,58,https://www.fragrantica.com/perfume/M-Micallef/Vanille-Vanille-44496.html,2025-11-14T22:24:30.568425
M. Micallef,Vanille Oud M. Micallef for women and men,3.84,62,https://www.fragrantica.com/perfume/M-Micallef/Vanille-Oud-44495.html,2025-11-14T22:24:36.352721
M. Micallef,B by Micallef M. Micallef,4.09,11,https://www.fragrantica.com/perfume/M-Micallef/B-by-Micallef-18942.html,2025-11-14T22:24:41.946940
M. Micallef,Rose Extreme M. Micallef for women and men,4.06,62,https://www.fragrantica.com/perfume/M-Micallef/Rose-Extreme-17493.html,2025-11-14T22:24:48.003922
M. Micallef,Vanille Gaiac M. Micallef for women and men,4.03,34,https://www.fragrantica.com/perfume/M-Micallef/Vanille-Gaiac-44499.html,2025-11-14T22:24:54.986574
M. Micallef,Ananda Royal Mango Nectar M. Micallef,4.5,18,https://www.fragrantica.com/perfume/M-Micallef/Ananda-Royal-Mango-Nectar-109187.html,2025-11-14T22:25:01.192503
M. Micallef,Gardenia No 41 M. Micallef,4.05,21,https://www.fragrantica.com/perfume/M-Micallef/Gardenia-No-41-18579.html,2025-11-14T22:25:07.756832
M. Micallef,Vanille Sambag M. Micallef for women and men,4.0,25,https://www.fragrantica.com/perfume/M-Micallef/Vanille-Sambag-44497.html,2025-11-14T22:25:13.184090
M. Micallef,Ananda Nectar M. Micallef,4.06,127,https://www.fragrantica.com/perfume/M-Micallef/Ananda-Nectar-78629.html,2025-11-14T22:25:19.743198
M. Micallef,Aoud 2 M. Micallef,4.0,4,https://www.fragrantica.com/perfume/M-Micallef/Aoud-2-16007.html,2025-11-14T22:25:25.367435
M. Micallef,Art Collection Black M. Micallef,5.0,2,https://www.fragrantica.com/perfume/M-Micallef/Art-Collection-Black-44814.html,2025-11-14T22:25:30.783812
M. Micallef,Aoud 3 M. Micallef,4.5,10,https://www.fragrantica.com/perfume/M-Micallef/Aoud-3-16008.html,2025-11-14T22:25:36.390905
M. Micallef,Sashka Gold M. Micallef,2.71,7,https://www.fragrantica.com/perfume/M-Micallef/Sashka-Gold-18573.html,2025-11-14T22:25:42.977384
M. Micallef,1707 Pink M. Micallef,4.5,4,https://www.fragrantica.com/perfume/M-Micallef/1707-Pink-28081.html,2025-11-14T22:25:50.108684
M. Micallef,Xmas M. Micallef for women and men,3.96,25,https://www.fragrantica.com/perfume/M-Micallef/Xmas-45231.html,2025-11-14T22:25:55.850250
M. Micallef,Collection Rouge No2 M. Micallef,3.69,120,https://www.fragrantica.com/perfume/M-Micallef/Collection-Rouge-No2-18014.html,2025-11-14T22:26:01.518758
M. Micallef,Art Collection 101 M. Micallef,4.22,23,https://www.fragrantica.com/perfume/M-Micallef/Art-Collection-101-18556.html,2025-11-14T22:26:07.898617
M. Micallef,Un Moka M. Micallef,4.58,12,https://www.fragrantica.com/perfume/M-Micallef/Un-Moka-40826.html,2025-11-14T22:26:14.357138
M. Micallef,Art collection 203 Man M. Micallef,4.4,5,https://www.fragrantica.com/perfume/M-Micallef/Art-collection-203-Man-18561.html,2025-11-14T22:26:20.264693
M. Micallef,Ananda Exclusively For Osswald M. Micallef,4.0,1,https://www.fragrantica.com/perfume/M-Micallef/Ananda-Exclusively-For-Osswald-44821.html,2025-11-14T22:26:26.758540
M. Micallef,Art Collection No. 7 Lace M. Micallef,4.67,3,https://www.fragrantica.com/perfume/M-Micallef/Art-Collection-No-7-Lace-44820.html,2025-11-14T22:26:32.844031
M. Micallef,Black M. Micallef,3.93,684,https://www.fragrantica.com/perfume/M-Micallef/Black-14410.html,2025-11-14T22:26:38.847374
M. Micallef,Fleur Aurore M. Micallef,3.95,22,https://www.fragrantica.com/perfume/M-Micallef/Fleur-Aurore-54808.html,2025-11-14T22:26:44.209537
M. Micallef,Pink Flowers M. Micallef,3.65,31,https://www.fragrantica.com/perfume/M-Micallef/Pink-Flowers-18562.html,2025-11-14T22:26:51.075238
