brand,name,rating,votes,url,last_crawled
WIDIAN,Samar WIDIAN for women and men,3.69,42,https://www.fragrantica.com/perfume/WIDIAN/Samar-101789.html,2025-11-17T14:11:19.082860
WIDIAN,Rose Arabia Ginger WIDIAN for women and men,4.52,107,https://www.fragrantica.com/perfume/WIDIAN/Rose-Arabia-Ginger-96141.html,2025-11-17T14:11:25.386564
WIDIAN,Limited 71 Extreme WIDIAN for women and men,4.1,59,https://www.fragrantica.com/perfume/WIDIAN/Limited-71-Extreme-52175.html,2025-11-17T14:11:31.897444
WIDIAN,IV WIDIAN for women and men,4.06,329,https://www.fragrantica.com/perfume/WIDIAN/IV-30011.html,2025-11-17T14:11:37.562374
WIDIAN,Aswan WIDIAN for women and men,4.05,193,https://www.fragrantica.com/perfume/WIDIAN/Aswan-69441.html,2025-11-17T14:11:43.792981
WIDIAN,Black II Hair Mist WIDIAN for women and men,5.0,1,https://www.fragrantica.com/perfume/WIDIAN/Black-II-Hair-Mist-91742.html,2025-11-17T14:11:49.510726
WIDIAN,Rose Arabia Lily WIDIAN for women and men,3.73,71,https://www.fragrantica.com/perfume/WIDIAN/Rose-Arabia-Lily-54761.html,2025-11-17T14:11:56.274674
WIDIAN,V WIDIAN for women and men,3.96,252,https://www.fragrantica.com/perfume/WIDIAN/V-32092.html,2025-11-17T14:12:01.983926
WIDIAN,Rose Arabia Cotton WIDIAN for women and men,3.68,37,https://www.fragrantica.com/perfume/WIDIAN/Rose-Arabia-Cotton-98176.html,2025-11-17T14:12:08.340132
WIDIAN,Delma WIDIAN for women and men,4.02,284,https://www.fragrantica.com/perfume/WIDIAN/Delma-44111.html,2025-11-17T14:12:14.034266
WIDIAN,Liwa WIDIAN for women and men,4.09,574,https://www.fragrantica.com/perfume/WIDIAN/Liwa-44112.html,2025-11-17T14:12:19.526189
WIDIAN,Al Wasl WIDIAN for women and men,4.02,81,https://www.fragrantica.com/perfume/WIDIAN/Al-Wasl-65866.html,2025-11-17T14:12:25.143116
