brand,name,rating,votes,url,last_crawled
Yas Perfumes,Rawdah Yas Perfumes,4.12,8,https://www.fragrantica.com/perfume/Yas-Perfumes/Rawdah-28240.html,2025-11-14T08:27:43.215128
Yas Perfumes,Yasi Yas Perfumes for women and men,4.57,7,https://www.fragrantica.com/perfume/Yas-Perfumes/Yasi-39796.html,2025-11-14T08:27:49.021164
Yas Perfumes,Musk Imperial and Yas Yas Perfumes for women and men,4.75,4,https://www.fragrantica.com/perfume/Yas-Perfumes/Musk-Imperial-and-Yas-28228.html,2025-11-14T08:27:55.047723
Yas Perfumes,Huboob Yas Yas Perfumes for women and men,3.14,7,https://www.fragrantica.com/perfume/Yas-Perfumes/Huboob-Yas-28237.html,2025-11-14T08:28:00.488674
Yas Perfumes,So Yas Yas Perfumes for women and men,3.57,21,https://www.fragrantica.com/perfume/Yas-Perfumes/So-Yas-39794.html,2025-11-14T08:28:07.039971
Yas Perfumes,Zayed Yas Perfumes for women and men,4.0,14,https://www.fragrantica.com/perfume/Yas-Perfumes/Zayed-28266.html,2025-11-14T08:28:12.865451
Yas Perfumes,Al Gharam Yas Perfumes,4.34,32,https://www.fragrantica.com/perfume/Yas-Perfumes/Al-Gharam-28235.html,2025-11-14T08:28:19.733237
Yas Perfumes,Oud Yas Yas Perfumes,4.07,14,https://www.fragrantica.com/perfume/Yas-Perfumes/Oud-Yas-28239.html,2025-11-14T08:28:25.160366
Yas Perfumes,Best of Love Yas Perfumes,5.0,1,https://www.fragrantica.com/perfume/Yas-Perfumes/Best-of-Love-28264.html,2025-11-14T08:28:32.019549
Yas Perfumes,Jumeirah Yas Perfumes for women and men,4.0,5,https://www.fragrantica.com/perfume/Yas-Perfumes/Jumeirah-28267.html,2025-11-14T08:28:38.481625
Yas Perfumes,Al Hareem Yas Perfumes,4.22,18,https://www.fragrantica.com/perfume/Yas-Perfumes/Al-Hareem-28268.html,2025-11-14T08:28:51.265973
Yas Perfumes,Taj Yas Perfumes for women and men,5.0,1,https://www.fragrantica.com/perfume/Yas-Perfumes/Taj-115307.html,2025-11-14T08:28:56.898367
Yas Perfumes,Laitek Mai Yas Perfumes for women and men,4.43,23,https://www.fragrantica.com/perfume/Yas-Perfumes/Laitek-Mai-28241.html,2025-11-14T08:29:03.034635
Yas Perfumes,Jazzab Yas Perfumes for women and men,4.35,20,https://www.fragrantica.com/perfume/Yas-Perfumes/Jazzab-39795.html,2025-11-14T08:29:08.532477
Yas Perfumes,Yas Yas Perfumes for women and men,3.33,9,https://www.fragrantica.com/perfume/Yas-Perfumes/Yas-28270.html,2025-11-14T08:29:20.444289
Yas Perfumes,Oud Khas Yas Perfumes for women and men,3.17,6,https://www.fragrantica.com/perfume/Yas-Perfumes/Oud-Khas-28269.html,2025-11-14T08:29:26.347399
Yas Perfumes,Al Maha Yas Perfumes for women and men,3.92,12,https://www.fragrantica.com/perfume/Yas-Perfumes/Al-Maha-39798.html,2025-11-14T08:29:32.841622
Yas Perfumes,Hamasat Yas Perfumes for women and men,4.19,32,https://www.fragrantica.com/perfume/Yas-Perfumes/Hamasat-39797.html,2025-11-14T08:29:38.864476
Yas Perfumes,Musk Yas Yas Perfumes for women and men,4.29,14,https://www.fragrantica.com/perfume/Yas-Perfumes/Musk-Yas-28265.html,2025-11-14T08:29:44.268574
Yas Perfumes,Nada Yas Yas Perfumes for women and men,4.35,17,https://www.fragrantica.com/perfume/Yas-Perfumes/Nada-Yas-28272.html,2025-11-14T08:29:50.661023
Yas Perfumes,Yas Al Malaki Yas Perfumes for women and men,4.58,36,https://www.fragrantica.com/perfume/Yas-Perfumes/Yas-Al-Malaki-28227.html,2025-11-14T08:29:57.537939
Yas Perfumes,Yas Rose Yas Perfumes,3.5,4,https://www.fragrantica.com/perfume/Yas-Perfumes/Yas-Rose-28238.html,2025-11-14T08:30:03.282970
Yas Perfumes,Love Yas Perfumes for women and men,5.0,1,https://www.fragrantica.com/perfume/Yas-Perfumes/Love-115310.html,2025-11-14T08:30:21.712033
Yas Perfumes,Arab Yas Perfumes for women and men,4.5,2,https://www.fragrantica.com/perfume/Yas-Perfumes/Arab-115306.html,2025-11-14T08:30:28.104601
Yas Perfumes,Musk Savana and Arabia Yas Perfumes for women and men,4.5,2,https://www.fragrantica.com/perfume/Yas-Perfumes/Musk-Savana-and-Arabia-28242.html,2025-11-14T08:30:40.371575
Yas Perfumes,Piedra Yas Perfumes,4.0,9,https://www.fragrantica.com/perfume/Yas-Perfumes/Piedra-28271.html,2025-11-14T08:30:47.379820
