brand,name,rating,votes,url,last_crawled,sex,fragrance_category
Calvin Klein,Calvin Calvin Klein,4.51,271,https://www.fragrantica.com/perfume/Calvin-Klein/Calvin-274.html,2026-02-22T00:36:21.469589,men,Woody Floral Musk
Calvin Klein,CK2 Calvin Klein for women and men,3.94,2304,https://www.fragrantica.com/perfume/Calvin-Klein/CK2-32563.html,2026-02-22T00:36:33.034039,women and men,Woody Aromatic
Calvin Klein,Crave Calvin Klein,4.05,970,https://www.fragrantica.com/perfume/Calvin-Klein/Crave-273.html,2026-02-22T00:36:48.931228,men,aromatic fougere
Calvin Klein,Downtown Calvin Klein,3.48,1833,https://www.fragrantica.com/perfume/Calvin-Klein/Downtown-18392.html,2026-02-22T00:37:04.148222,women,Floral Woody Musk
Calvin Klein,Man Calvin Klein,3.63,1380,https://www.fragrantica.com/perfume/Calvin-Klein/Man-1656.html,2026-02-22T00:37:23.168561,men,Woody Spicy
Calvin Klein,Beauty Calvin Klein,3.75,5868,https://www.fragrantica.com/perfume/Calvin-Klein/Beauty-8840.html,2026-02-22T00:37:43.258608,women,Floral
Calvin Klein,Sheer Beauty Calvin Klein,3.77,2347,https://www.fragrantica.com/perfume/Calvin-Klein/Sheer-Beauty-13962.html,2026-02-22T00:37:59.185994,women,Floral Fruity
Calvin Klein,Sheer Beauty Essence Calvin Klein,3.69,635,https://www.fragrantica.com/perfume/Calvin-Klein/Sheer-Beauty-Essence-18124.html,2026-02-22T00:38:12.751729,women,Floral
Calvin Klein,Calvin Klein Women Calvin Klein,3.53,1842,https://www.fragrantica.com/perfume/Calvin-Klein/Calvin-Klein-Women-50662.html,2026-02-22T00:38:29.536929,women,Floral Woody Musk
Calvin Klein,Calvin Klein Women Eau de Parfum Intense Calvin Klein,3.67,154,https://www.fragrantica.com/perfume/Calvin-Klein/Calvin-Klein-Women-Eau-de-Parfum-Intense-55683.html,2026-02-22T00:38:43.216503,women,Oriental Floral
Calvin Klein,Calvin Klein Women Eau de Toilette Calvin Klein,3.55,384,https://www.fragrantica.com/perfume/Calvin-Klein/Calvin-Klein-Women-Eau-de-Toilette-53599.html,2026-02-22T00:39:00.339556,women,Floral Woody Musk
Calvin Klein,CK All Calvin Klein for women and men,4.0,1869,https://www.fragrantica.com/perfume/Calvin-Klein/CK-All-42944.html,2026-02-22T00:39:15.152977,women and men,Citrus
Calvin Klein,CK be Calvin Klein for women and men,3.83,6655,https://www.fragrantica.com/perfume/Calvin-Klein/CK-be-275.html,2026-02-22T00:39:26.358933,women and men,Floral Woody Musk
Calvin Klein,CK Be We Are One Magnets Calvin Klein for women and men,3.79,19,https://www.fragrantica.com/perfume/Calvin-Klein/CK-Be-We-Are-One-Magnets-11084.html,2026-02-22T00:39:37.696129,women and men,Floral Woody Musk
Calvin Klein,CK Free Calvin Klein,3.39,1891,https://www.fragrantica.com/perfume/Calvin-Klein/CK-Free-6281.html,2026-02-22T00:39:50.283571,men,"modern, masculine"
Calvin Klein,CK Free Blue Calvin Klein,3.29,170,https://www.fragrantica.com/perfume/Calvin-Klein/CK-Free-Blue-13497.html,2026-02-22T00:40:05.329702,men,Aromatic Spicy
Calvin Klein,CK Free Energy Calvin Klein,3.89,37,https://www.fragrantica.com/perfume/Calvin-Klein/CK-Free-Energy-29972.html,2026-02-22T00:40:17.576272,men,Aromatic Spicy
Calvin Klein,CK Free Sport Calvin Klein,3.39,56,https://www.fragrantica.com/perfume/Calvin-Klein/CK-Free-Sport-23614.html,2026-02-22T00:40:27.514020,men,Woody Aromatic
Calvin Klein,CK IN2U for Her Calvin Klein,3.88,8273,https://www.fragrantica.com/perfume/Calvin-Klein/CK-IN2U-for-Her-934.html,2026-02-22T00:40:36.853740,women,Oriental Floral
Calvin Klein,CK IN2U for Him Calvin Klein,3.53,3121,https://www.fragrantica.com/perfume/Calvin-Klein/CK-IN2U-for-Him-933.html,2026-02-22T00:40:48.727204,men,Aromatic Fougere
Calvin Klein,CK IN2U Heat for Her Calvin Klein,4.07,169,https://www.fragrantica.com/perfume/Calvin-Klein/CK-IN2U-Heat-for-Her-5468.html,2026-02-22T00:40:57.914588,women,
Calvin Klein,CK IN2U Heat for Him Calvin Klein,3.74,50,https://www.fragrantica.com/perfume/Calvin-Klein/CK-IN2U-Heat-for-Him-5469.html,2026-02-22T00:41:08.036057,men,
Calvin Klein,ck IN2U Heat Her Calvin Klein,4.03,72,https://www.fragrantica.com/perfume/Calvin-Klein/ck-IN2U-Heat-Her-8100.html,2026-02-22T00:41:17.299461,women,floral fruity gourmand
Calvin Klein,ck IN2U Heat Him Calvin Klein,4.14,37,https://www.fragrantica.com/perfume/Calvin-Klein/ck-IN2U-Heat-Him-8101.html,2026-02-22T00:41:24.331837,men,Oriental Spicy
Calvin Klein,CK IN2U Her Collectables Calvin Klein,3.9,84,https://www.fragrantica.com/perfume/Calvin-Klein/CK-IN2U-Her-Collectables-6926.html,2026-02-22T00:41:33.029376,women,Oriental Floral
Calvin Klein,CK IN2U Him Collectables Calvin Klein,3.58,64,https://www.fragrantica.com/perfume/Calvin-Klein/CK-IN2U-Him-Collectables-6927.html,2026-02-22T00:41:40.380092,men,Aromatic Fougere
