brand,name,rating,votes,url,last_crawled,sex,fragrance_category
4711,Acqua Colonia Freesia & Musk,3.5,26,https://www.fragrantica.com/perfume/4711/4711-Acqua-Colonia-Freesia-Musk-82013.html,2026-01-02T18:09:42.605967,unisex,
4711,Amber Mandarin,3.09,11,https://www.fragrantica.com/perfume/4711/Amber-Mandarin-88490.html,2026-02-05T21:10:26.665653,unisex,
4711,Majestic Leather,3.56,9,https://www.fragrantica.com/perfume/4711/Majestic-Leather-88492.html,2026-02-05T21:10:41.793261,unisex,
4711,Midnight Sandal,3.83,12,https://www.fragrantica.com/perfume/4711/Midnight-Sandal-88487.html,2026-01-02T18:11:51.721700,unisex,
4711,Noble Rose,3.33,6,https://www.fragrantica.com/perfume/4711/Noble-Rose-88489.html,2026-02-05T21:10:59.618297,unisex,
4711,Orchid Vanilla,3.5,10,https://www.fragrantica.com/perfume/4711/Orchid-Vanilla-88488.html,2026-01-02T18:45:30.236983,unisex,
4711,Remix Green Oasis,3.77,57,https://www.fragrantica.com/perfume/4711/4711-Remix-Green-Oasis-91025.html,2026-02-05T21:14:21.444507,unisex,
4711,Remix St. Tropez,4.67,3,https://www.fragrantica.com/perfume/4711/4711-Remix-St-Tropez-123610.html,2026-02-05T21:14:29.554069,unisex,
4711,Vibrant Musk,4.54,13,https://www.fragrantica.com/perfume/4711/Vibrant-Musk-88491.html,2026-01-02T18:46:13.985579,unisex,
Acqua di Parma,Blu Mediterraneo - Arancia La Spugnatura,4.13,250,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-La-Spugnatura-80686.html,2025-11-11T21:21:31.334782,unisex,
Acqua di Parma,Gelsomino A Freddo,3.97,103,https://www.fragrantica.com/perfume/Acqua-di-Parma/Gelsomino-A-Freddo-113884.html,2025-11-11T21:21:49.893782,unisex,
Acqua di Parma,Zafferano Collector Edition,3.73,41,https://www.fragrantica.com/perfume/Acqua-di-Parma/Zafferano-Collector-Edition-83303.html,2025-11-11T21:22:16.264621,unisex,
Aedes de Venustas,Corfu Kumquat,3.85,105,https://www.fragrantica.com/perfume/Aedes-de-Venustas/Corfu-Kumquat-72952.html,2026-02-20T08:21:36.966805,unisex,
Aedes de Venustas,Musc Encense,3.84,191,https://www.fragrantica.com/perfume/Aedes-de-Venustas/Musc-Encense-49367.html,2026-02-20T08:22:33.930375,unisex,
Aedes de Venustas,Sueno Latino,3.99,77,https://www.fragrantica.com/perfume/Aedes-de-Venustas/Sueno-Latino-106806.html,2026-02-20T08:22:26.442946,unisex,
Aerin,Mediterranean Honeysuckle Clementina,3.8,133,https://www.fragrantica.com/perfume/Aerin/Mediterranean-Honeysuckle-Clementina-78780.html,2026-02-03T10:27:19.009491,women,
Aerin,Wisteria,3.92,37,https://www.fragrantica.com/perfume/Aerin/Wisteria-110376.html,2026-02-03T10:29:09.986500,unisex,
Aesop,"Above Us, Steorra",3.67,143,https://www.fragrantica.com/perfume/Aesop/Above-Us-Steorra-112968.html,2026-02-20T08:36:22.096365,unisex,
Affinessence,Safran-Neroli,3.89,79,https://www.fragrantica.com/perfume/Affinessence/Safran-Neroli-91055.html,2026-02-20T08:24:09.336357,unisex,
Ajmal,Amber Zest,3.9,10,https://www.fragrantica.com/perfume/Ajmal/Amber-Zest-99267.html,2026-02-05T14:41:22.900765,unisex,
Ajmal,Amir One,4.49,176,https://www.fragrantica.com/perfume/Ajmal/Amir-One-70209.html,2026-02-05T16:58:42.053725,unisex,
Ajmal,Amir Two,4.56,126,https://www.fragrantica.com/perfume/Ajmal/Amir-Two-77145.html,2026-02-05T16:58:50.565991,unisex,
Ajmal,Aristocrat Coastal,3.66,35,https://www.fragrantica.com/perfume/Ajmal/Aristocrat-Coastal-93503.html,2025-12-05T23:24:52.738018,men,
Ajmal,Aristocrat Coral,3.76,38,https://www.fragrantica.com/perfume/Ajmal/Aristocrat-Coral-93502.html,2025-12-05T23:23:40.477496,women,
Ajmal,Aristocrat Pink,4.0,4,https://www.fragrantica.com/perfume/Ajmal/Aristocrat-Pink-117496.html,2026-02-05T16:59:39.808381,women,
Ajmal,Bakhakh Mukhallat Mubakhar Mojadad,4.0,1,https://www.fragrantica.com/perfume/Ajmal/Bakhakh-Mukhallat-Mubakhar-Mojadad-62076.html,2026-02-05T14:41:44.486713,unisex,
Ajmal,Barakah,5.0,1,https://www.fragrantica.com/perfume/Ajmal/Barakah-117495.html,2026-02-05T14:41:51.685196,unisex,
Ajmal,Blanche Collection III,4.33,15,https://www.fragrantica.com/perfume/Ajmal/Blanche-Collection-III-97172.html,2026-02-05T17:00:27.021236,unisex,
Ajmal,Chapter 5,4.19,57,https://www.fragrantica.com/perfume/Ajmal/Chapter-5-102739.html,2026-02-05T17:35:41.133312,unisex,
Ajmal,Encore,3.78,41,https://www.fragrantica.com/perfume/Ajmal/Encore-39346.html,2026-02-05T14:44:36.776261,unisex,
Ajmal,Entice Forever,3.72,90,https://www.fragrantica.com/perfume/Ajmal/Entice-Forever-33682.html,2026-02-05T14:44:53.804967,women,
Ajmal,Evoke Silver Edition,3.73,123,https://www.fragrantica.com/perfume/Ajmal/Evoke-Silver-Edition-50792.html,2026-02-05T17:04:57.303451,men,
Ajmal,Hafa,4.28,29,https://www.fragrantica.com/perfume/Ajmal/Hafa-39345.html,2025-12-05T23:10:38.993806,unisex,
Ajmal,Luminescence for Her,4.0,6,https://www.fragrantica.com/perfume/Ajmal/Luminescence-for-Her-47033.html,2025-12-05T23:25:21.743925,women,
Ajmal,Lure for Him,3.88,24,https://www.fragrantica.com/perfume/Ajmal/Lure-for-Him-10924.html,2026-02-05T17:05:52.847634,men,
Ajmal,Magnifica,4.02,41,https://www.fragrantica.com/perfume/Ajmal/Magnifica-77661.html,2026-02-05T14:50:05.349889,unisex,
Ajmal,Majestica,3.91,64,https://www.fragrantica.com/perfume/Ajmal/Majestica-77662.html,2025-12-06T20:24:10.359910,unisex,
Ajmal,Mazaaj,4.5,4,https://www.fragrantica.com/perfume/Ajmal/Mazaaj-26893.html,2025-12-05T23:25:14.163674,unisex,
Ajmal,Musc Supreme,4.05,19,https://www.fragrantica.com/perfume/Ajmal/Musc-Supreme-39344.html,2025-12-06T20:36:09.348469,unisex,
Ajmal,Oak Wood,4.4,5,https://www.fragrantica.com/perfume/Ajmal/Oak-Wood-119194.html,2026-02-05T17:37:16.800653,unisex,
Ajmal,Paineira Wood,5.0,2,https://www.fragrantica.com/perfume/Ajmal/Paineira-Wood-119191.html,2026-02-05T17:37:26.690326,unisex,
Ajmal,Soul Of Amir,4.67,9,https://www.fragrantica.com/perfume/Ajmal/Soul-Of-Amir-91928.html,2026-02-05T16:58:58.270688,unisex,
Ajmal,Symphony Of Oud,4.25,36,https://www.fragrantica.com/perfume/Ajmal/Symphony-Of-Oud-88749.html,2026-02-05T16:55:49.492274,unisex,
Al Haramain Perfumes,50 Years Platinum Oud,4.35,57,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/50-Years-Platinum-Oud-70372.html,2026-02-04T00:17:08.601275,unisex,
Al Haramain Perfumes,A One,5.0,3,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/A-One-19934.html,2026-02-04T00:38:25.316245,unisex,
Al Haramain Perfumes,Al Haramain Collection Gold,4.19,21,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Al-Haramain-Collection-Gold-19854.html,2026-02-03T23:52:03.052503,unisex,
