brand,name,rating,votes,url,last_crawled
EIGHT & BOB,EIGHT & BOB EIGHT & BOB,4.05,1244,https://www.fragrantica.com/perfume/EIGHT-BOB/EIGHT-BOB-16295.html,2025-10-19T20:53:28.211895
Parfums de Marly,Herod Parfums de Marly,4.44,9776,https://www.fragrantica.com/perfume/Parfums-de-Marly/Herod-16939.html,2025-10-19T20:53:31.843555
EIGHT & BOB,Annicke 6 EIGHT & BOB,3.89,117,https://www.fragrantica.com/perfume/EIGHT-BOB/Annicke-6-57855.html,2025-10-19T20:53:38.816422
Michael Malul London,Ocean Noir Michael Malul London,4.53,599,https://www.fragrantica.com/perfume/Michael-Malul-London/Ocean-Noir-70722.html,2025-10-19T20:53:51.456914
Tom Ford,Grey Vetiver Tom Ford,4.28,7851,https://www.fragrantica.com/perfume/Tom-Ford/Grey-Vetiver-6697.html,2025-10-19T20:53:57.082027
Asdaaf,Raneen Asdaaf,4.15,130,https://www.fragrantica.com/perfume/Asdaaf/Raneen-106906.html,2025-10-19T20:54:00.978759
EIGHT & BOB,Annicke 2 EIGHT & BOB,3.93,168,https://www.fragrantica.com/perfume/EIGHT-BOB/Annicke-2-51613.html,2025-10-19T20:54:18.356895
Maison Martin Margiela,Jazz Club Maison Martin Margiela,4.2,17305,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Jazz-Club-20541.html,2025-10-19T20:54:21.416266
EIGHT & BOB,Sérénité en Bourgogne EIGHT & BOB for women and men,4.06,16,https://www.fragrantica.com/perfume/EIGHT-BOB/Serenite-en-Bourgogne-108383.html,2025-10-19T20:54:27.551796
Lalique,Encre Noire Lalique,4.16,22605,https://www.fragrantica.com/perfume/Lalique/Encre-Noire-1834.html,2025-10-19T20:54:55.242653
EIGHT & BOB,Annicke 5 EIGHT & BOB,4.2,297,https://www.fragrantica.com/perfume/EIGHT-BOB/Annicke-5-57854.html,2025-10-19T20:57:08.652043
EIGHT & BOB,Cap d'Antibes EIGHT & BOB,3.69,422,https://www.fragrantica.com/perfume/EIGHT-BOB/Cap-d-Antibes-24674.html,2025-10-19T20:57:11.663975
L'Entropiste,Dawn Whispers L'Entropiste for women and men,3.47,55,https://www.fragrantica.com/perfume/L-Entropiste/Dawn-Whispers-102084.html,2025-10-19T20:57:18.899737
EIGHT & BOB,Nuit de Megeve EIGHT & BOB for women and men,4.12,587,https://www.fragrantica.com/perfume/EIGHT-BOB/Nuit-de-Megeve-44017.html,2025-10-19T20:57:24.084607
Burberry,Goddess Burberry,4.19,10828,https://www.fragrantica.com/perfume/Burberry/Goddess-83483.html,2025-10-19T20:57:31.693578
Jean Paul Gaultier,Le Male Le Parfum Jean Paul Gaultier,4.6,21754,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html,2025-10-19T20:57:35.200250
