brand,name,rating,votes,url,last_crawled
EIGHT & BOB,EIGHT & BOB EIGHT & BOB,4.05,1244,https://www.fragrantica.com/perfume/EIGHT-BOB/EIGHT-BOB-16295.html,2025-10-19T21:57:47.455146
Hermès,Rouge Hermès Hermès,4.03,929,https://www.fragrantica.com/perfume/Chanel/Chance-21.html,2025-10-19T21:57:55.181578
Louis Vuitton,Nuit de Feu Louis Vuitton for women and men,3.88,671,https://www.fragrantica.com/perfume/Louis-Vuitton/Nuit-de-Feu-60031.html,2025-10-19T21:58:01.621216
Dior,Fahrenheit Dior,4.01,20817,https://www.fragrantica.com/perfume/Dior/Fahrenheit-228.html,2025-10-19T21:58:08.600853
Maison Francis Kurkdjian,Baccarat Rouge 540 Maison Francis Kurkdjian for women and men,3.8,25751,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html,2025-10-19T21:58:15.570012
Lattafa Perfumes,Eclaire Lattafa Perfumes,4.17,5735,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Eclaire-93628.html,2025-10-19T21:58:22.632238
Lattafa Perfumes,Habik For Women Lattafa Perfumes,4.29,157,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Habik-For-Women-110354.html,2025-10-19T21:58:29.190293
Tauer Perfumes,02 L'Air du Desert Marocain Tauer Perfumes for women and men,4.39,7505,https://www.fragrantica.com/perfume/Tauer-Perfumes/02-L-Air-du-Desert-Marocain-4573.html,2025-10-19T21:58:37.532453
Michael Malul London,Ocean Noir Michael Malul London,4.53,599,https://www.fragrantica.com/perfume/Michael-Malul-London/Ocean-Noir-70722.html,2025-10-19T21:58:44.531735
Jean Paul Gaultier,Le Male Elixir Jean Paul Gaultier,4.53,19801,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html,2025-10-19T21:58:52.117687
Jean Paul Gaultier,Le Male Le Parfum Jean Paul Gaultier,4.6,21754,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html,2025-10-19T21:58:59.822635
EIGHT & BOB,Cap d'Antibes EIGHT & BOB,3.69,422,https://www.fragrantica.com/perfume/EIGHT-BOB/Cap-d-Antibes-24674.html,2025-10-19T21:59:07.659269
EIGHT & BOB,Le Pari d'Honfleur EIGHT & BOB for women and men,4.13,15,https://www.fragrantica.com/perfume/EIGHT-BOB/Le-Pari-d-Honfleur-108384.html,2025-10-19T21:59:14.514318
EIGHT & BOB,Agneta EIGHT & BOB for women and men,4.22,133,https://www.fragrantica.com/perfume/EIGHT-BOB/Agneta-76584.html,2025-10-19T21:59:21.886607
Maison Martin Margiela,By the Fireplace Maison Martin Margiela for women and men,4.22,21778,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/By-the-Fireplace-31623.html,2025-10-19T21:59:29.706744
Jean Paul Gaultier,Le Beau Le Parfum Jean Paul Gaultier,4.53,13593,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Le-Parfum-72158.html,2025-10-19T21:59:36.610131
Dolce&Gabbana,Dolce Garden Dolce&Gabbana,3.94,4179,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Garden-48151.html,2025-10-19T21:59:43.762611
EIGHT & BOB,Belvedere EIGHT & BOB for women and men,4.25,24,https://www.fragrantica.com/perfume/EIGHT-BOB/Belvedere-108377.html,2025-10-19T21:59:50.347006
EIGHT & BOB,Annicke 6 EIGHT & BOB,3.89,117,https://www.fragrantica.com/perfume/EIGHT-BOB/Annicke-6-57855.html,2025-10-19T22:00:03.358858
By Kilian,Angels' Share By Kilian for women and men,4.37,18765,https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-62615.html,2025-10-19T22:00:10.847661
EIGHT & BOB,Le Trou 19 du Phare EIGHT & BOB for women and men,4.17,12,https://www.fragrantica.com/perfume/EIGHT-BOB/Le-Trou-19-du-Phare-108380.html,2025-10-19T22:00:17.530066
Tom Ford,Grey Vetiver Tom Ford,4.28,7851,https://www.fragrantica.com/perfume/Tom-Ford/Grey-Vetiver-6697.html,2025-10-19T22:00:25.000744
Lalique,Encre Noire Lalique,4.16,22605,https://www.fragrantica.com/perfume/Lalique/Encre-Noire-1834.html,2025-10-19T22:00:32.856320
Lattafa Perfumes,Bade'e Al Oud Sublime Lattafa Perfumes for women and men,4.18,2125,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Bade-e-Al-Oud-Sublime-83309.html,2025-10-19T22:00:39.723986
EIGHT & BOB,Guéthary EIGHT & BOB for women and men,3.4,35,https://www.fragrantica.com/perfume/EIGHT-BOB/Guethary-76583.html,2025-10-19T22:00:46.366861
Sol de Janeiro,Cheirosa '68 Sol de Janeiro,3.92,4155,https://www.fragrantica.com/perfume/Sol-de-Janeiro/Cheirosa-68-73990.html,2025-10-19T22:00:53.515087
